timestamp,flavor,count
2026-01-20 21:59:48,1pct,0
2026-01-20 21:59:48,2pct,0
2026-01-20 21:59:53,whole,0
2026-01-20 21:59:53,1pct,0
2026-01-20 21:59:53,2pct,0
2026-01-20 21:59:58,whole,0
2026-01-20 21:59:58,1pct,0
2026-01-20 21:59:58,2pct,0
2026-01-20 22:00:03,whole,0
2026-01-20 22:00:03,1pct,0
2026-01-20 22:00:03,2pct,0
2026-01-20 22:00:08,whole,0
2026-01-20 22:00:08,1pct,0
2026-01-20 22:00:08,2pct,0
2026-01-20 22:00:14,whole,0
2026-01-20 22:00:14,1pct,0
2026-01-20 22:00:14,2pct,0
2026-01-20 22:00:19,whole,0
2026-01-20 22:00:19,1pct,0
2026-01-20 22:00:19,2pct,0
2026-01-20 22:00:24,whole,0
2026-01-20 22:00:24,1pct,0
2026-01-20 22:00:24,2pct,0
2026-01-20 22:00:29,whole,0
2026-01-20 22:00:29,1pct,0
2026-01-20 22:00:29,2pct,0
2026-01-20 22:00:34,whole,0
2026-01-20 22:00:34,1pct,0
2026-01-20 22:00:34,2pct,0
2026-01-20 22:00:39,whole,0
2026-01-20 22:00:39,1pct,0
2026-01-20 22:00:39,2pct,0
2026-01-20 22:00:44,whole,0
2026-01-20 22:00:44,1pct,0
2026-01-20 22:00:44,2pct,0
2026-01-20 22:00:49,whole,0
2026-01-20 22:00:49,1pct,0
2026-01-20 22:00:49,2pct,0
2026-01-20 22:00:54,whole,0
2026-01-20 22:00:54,1pct,0
2026-01-20 22:00:54,2pct,0
2026-01-20 22:00:59,whole,0
2026-01-20 22:00:59,1pct,0
2026-01-20 22:00:59,2pct,0
2026-01-20 22:01:04,whole,0
2026-01-20 22:01:04,1pct,0
2026-01-20 22:01:04,2pct,0
2026-01-20 22:01:09,whole,0
2026-01-20 22:01:09,1pct,0
2026-01-20 22:01:09,2pct,0
2026-01-20 22:01:14,whole,0
2026-01-20 22:01:14,1pct,0
2026-01-20 22:01:14,2pct,0
2026-01-20 22:01:19,whole,0
2026-01-20 22:01:19,1pct,0
2026-01-20 22:01:19,2pct,0
2026-01-20 22:01:24,whole,0
2026-01-20 22:01:24,1pct,0
2026-01-20 22:01:24,2pct,0
2026-01-20 22:01:30,whole,0
2026-01-20 22:01:30,1pct,0
